Elapsed Time (ms), RR (ms), Heart Rate (bpm)
381747,413,145.2
382160,413,145.2
382560,400,150
382970,410,146.3
383383,413,145.2
383797,413,145.2
384210,413,145.2
384607,397,151.3
385033,427,140.6
385440,407,147.5
385853,413,145.2
386270,417,144
386680,410,146.3
387087,407,147.5
387490,403,148.8
387913,423,141.7
388317,403,148.8
388737,420,142.9
389160,423,141.7
389577,417,144
390000,423,141.7
390423,423,141.7
390867,443,135.3
391300,433,138.5
391743,443,135.3
392180,437,137.4
392630,450,133.3
393073,443,135.3
393520,447,134.3
393953,433,138.5
394390,437,137.4
394840,450,133.3
395310,470,127.7
395780,470,127.7
396237,457,131.4
396713,477,125.9
397200,487,123.3
397677,477,125.9
398147,470,127.7
398617,470,127.7
399073,457,131.4
399553,480,125
400007,453,132.4
400433,427,140.6
400877,443,135.3
401320,443,135.3
401780,460,130.4
402247,467,128.6
402703,457,131.4
403143,440,136.4
403573,430,139.5
404007,433,138.5
404433,427,140.6
404847,413,145.2
405277,430,139.5
405720,443,135.3
406153,433,138.5
406610,457,131.4
407043,433,138.5
407507,463,129.5
407973,467,128.6
408430,457,131.4
408857,427,140.6
409283,427,140.6
409727,443,135.3
410197,470,127.7
410680,483,124.1
411167,487,123.3
411637,470,127.7
412117,480,125
412567,450,133.3
413010,443,135.3
413453,443,135.3
413913,460,130.4
414353,440,136.4
414807,453,132.4
415253,447,134.3
415713,460,130.4
416177,463,129.5
416653,477,125.9
417117,463,129.5
417617,500,120
418103,487,123.3
418577,473,126.8
419047,470,127.7
419503,457,131.4
419940,437,137.4
420387,447,134.3
420830,443,135.3
421263,433,138.5
421693,430,139.5
422120,427,140.6
422533,413,145.2
422957,423,141.7
423387,430,139.5
423823,437,137.4
424237,413,145.2
424650,413,145.2
425087,437,137.4
425533,447,134.3
425973,440,136.4
426457,483,124.1
426913,457,131.4
427360,447,134.3
427820,460,130.4
428267,447,134.3
428703,437,137.4
429157,453,132.4
429607,450,133.3
430040,433,138.5
430460,420,142.9
430870,410,146.3
431277,407,147.5
431690,413,145.2
432107,417,144
432530,423,141.7
432943,413,145.2
433347,403,148.8
433747,400,150
434150,403,148.8
434560,410,146.3
434963,403,148.8
435367,403,148.8
435767,400,150
436167,400,150
436573,407,147.5
436973,400,150
437360,387,155.2
437753,393,152.5
438147,393,152.5
438550,403,148.8
438983,433,138.5
439417,433,138.5
439823,407,147.5
440253,430,139.5
440673,420,142.9
441100,427,140.6
441557,457,131.4
442013,457,131.4
442460,447,134.3
442883,423,141.7
443303,420,142.9
443717,413,145.2
444147,430,139.5
444577,430,139.5
445007,430,139.5
445430,423,141.7
445873,443,135.3
446307,433,138.5
446760,453,132.4
447210,450,133.3
447633,423,141.7
448067,433,138.5
448507,440,136.4
448927,420,142.9
449330,403,148.8
449737,407,147.5
450167,430,139.5
450587,420,142.9
450990,403,148.8
451410,420,142.9
451837,427,140.6
452247,410,146.3
452657,410,146.3
453073,417,144
453460,387,155.2
453850,390,153.8
454250,400,150
454660,410,146.3
455047,387,155.2
455453,407,147.5
455867,413,145.2
456267,400,150
456663,397,151.3
457053,390,153.8
457440,387,155.2
457823,383,156.5
458203,380,157.9
458580,377,159.3
458957,377,159.3
459337,380,157.9
459710,373,160.7
460083,373,160.7
460467,383,156.5
460850,383,156.5
461237,387,155.2
461620,383,156.5
462013,393,152.5
462413,400,150
462803,390,153.8
463200,397,151.3
463587,387,155.2
463973,387,155.2
464363,390,153.8
464767,403,148.8
465180,413,145.2
465580,400,150
465983,403,148.8
466383,400,150
466780,397,151.3
467197,417,144
467613,417,144
468040,427,140.6
468457,417,144
468883,427,140.6
469317,433,138.5
469743,427,140.6
470167,423,141.7
470600,433,138.5
471030,430,139.5
471453,423,141.7
471860,407,147.5
472260,400,150
472670,410,146.3
473077,407,147.5
473503,427,140.6
473950,447,134.3
474390,440,136.4
474817,427,140.6
475263,447,134.3
475717,453,132.4
476160,443,135.3
476593,433,138.5
477040,447,134.3
477493,453,132.4
477973,480,125
478437,463,129.5
478893,457,131.4
479323,430,139.5
479773,450,133.3
480213,440,136.4
480673,460,130.4
481133,460,130.4
481567,433,138.5
482030,463,129.5
482500,470,127.7
482943,443,135.3
483370,427,140.6
483803,433,138.5
484233,430,139.5
484653,420,142.9
485057,403,148.8
485457,400,150
485863,407,147.5
486270,407,147.5
486673,403,148.8
487103,430,139.5
487540,437,137.4
487973,433,138.5
488383,410,146.3
488787,403,148.8
489187,400,150
489590,403,148.8
489997,407,147.5
490397,400,150
490783,387,155.2
491170,387,155.2
491563,393,152.5
491953,390,153.8
492337,383,156.5
492723,387,155.2
493120,397,151.3
493503,383,156.5
493897,393,152.5
494290,393,152.5
494677,387,155.2
495097,420,142.9
495510,413,145.2
495933,423,141.7
496347,413,145.2
496783,437,137.4
497240,457,131.4
497697,457,131.4
498143,447,134.3
498630,487,123.3
499083,453,132.4
499520,437,137.4
499977,457,131.4
500430,453,132.4
500867,437,137.4
501310,443,135.3
501740,430,139.5
502160,420,142.9
